Category	Variants	Gene
Splice-altering	1	BCS1L
Splice-altering	1	BECN1
Splice-altering	1	BEST3
Splice-altering	1	BICD1
Splice-altering	1	BICD2
Splice-altering	1	BICDL1
Splice-altering	1	BICDL2
Splice-altering	1	BICRA
Splice-altering	1	BLOC1S2
Splice-altering	1	BLTP3A
Splice-altering	1	BLVRA
Splice-altering	1	BMPR1B
Splice-altering	1	BMPR2
Splice-altering	1	BMS1P20
Splice-altering	1	BMT2
Splice-altering	1	BNC1
Splice-altering	1	BOC
Splice-altering	1	BOLL
Splice-altering	1	BORA
Splice-altering	1	BPIFB3
Splice-altering	1	BPNT1
Splice-altering	1	BPNT2
Splice-altering	1	BRAF
Splice-altering	1	BRAP
Splice-altering	1	BRCC3
Splice-altering	1	BRD1
Splice-altering	1	BRD2
Splice-altering	1	BRDT
Splice-altering	1	BRF2
Splice-altering	1	BRICD5
Splice-altering	1	BRINP3
Splice-altering	1	BRMS1
Splice-altering	1	BROX
Splice-altering	1	BRSK1
Splice-altering	1	BSCL2
Splice-altering	1	BTBD1
Splice-altering	1	BTF3
Splice-altering	1	BTN3A1
Splice-altering	1	BTN3A3
Splice-altering	1	BTNL12P
Splice-altering	1	BTRC
Splice-altering	1	BUB1B-PAK6
Splice-altering	1	BUB3
Splice-altering	1	BUD31
Splice-altering	1	BZW2
Splice-altering	1	C11orf52
Splice-altering	1	C12orf4
Splice-altering	1	C12orf43
Splice-altering	1	C12orf57
Splice-altering	1	C12orf75
Splice-altering	1	C14orf93
Splice-altering	1	C19orf12
Splice-altering	1	C19orf33
Splice-altering	1	C19orf53
Splice-altering	1	C1QBP
Splice-altering	1	C1QTNF3
Splice-altering	1	C1QTNF3-AMACR
Splice-altering	1	C1orf146
Splice-altering	1	C1orf52
Splice-altering	1	C1orf54
Splice-altering	1	C2
Splice-altering	1	C2CD2L
Splice-altering	1	C2CD5
Splice-altering	1	C2orf42
Splice-altering	1	C3orf49
Splice-altering	1	C5orf34
Splice-altering	1	C6orf118
Splice-altering	1	C6orf120
Splice-altering	1	C6orf58
Splice-altering	1	C6orf62
Splice-altering	1	C7
Splice-altering	1	C8orf76
Splice-altering	1	C9orf78
Splice-altering	1	CA13
Splice-altering	1	CA6
Splice-altering	1	CACNA1A
Splice-altering	1	CACNA1C
Splice-altering	1	CACNA1E
Splice-altering	1	CACNA1H
Splice-altering	1	CACNA1I
Splice-altering	1	CADM4
Splice-altering	1	CALB1
Splice-altering	1	CALCA
Splice-altering	1	CALCB
Splice-altering	1	CALM2
Splice-altering	1	CAMK1
Splice-altering	1	CAMKK1
Splice-altering	1	CAMTA1
Splice-altering	1	CANX
Splice-altering	1	CAPN13
Splice-altering	1	CAPN5
Splice-altering	1	CAPN9
Splice-altering	1	CARD14
Splice-altering	1	CASD1
Splice-altering	1	CASKIN2
Splice-altering	1	CASP10
Splice-altering	1	CASP4
Splice-altering	1	CASP7
Splice-altering	1	CASP8
Splice-altering	1	CASQ1
Splice-altering	1	CAT
Splice-altering	1	CBFA2T2
Splice-altering	1	CBLB
Splice-altering	1	CBLC
Splice-altering	1	CBLL1
Splice-altering	1	CBR1
Splice-altering	1	CBX4
Splice-altering	1	CBY1
Splice-altering	1	CC2D2A
Splice-altering	1	CCDC102B
Splice-altering	1	CCDC112
Splice-altering	1	CCDC113
Splice-altering	1	CCDC124
Splice-altering	1	CCDC137
Splice-altering	1	CCDC159
Splice-altering	1	CCDC171
Splice-altering	1	CCDC28A
Splice-altering	1	CCDC34
Splice-altering	1	CCDC59
Splice-altering	1	CCDC63
Splice-altering	1	CCDC69
Splice-altering	1	CCDC7
Splice-altering	1	CCDC86
Splice-altering	1	CCDC88A
Splice-altering	1	CCDC92
Splice-altering	1	CCDC93
Splice-altering	1	CCL28
Splice-altering	1	CCNA1
Splice-altering	1	CCNA2
Splice-altering	1	CCNB1IP1
Splice-altering	1	CCNC
Splice-altering	1	CCNE2
Splice-altering	1	CCNQ
Splice-altering	1	CCNT2
Splice-altering	1	CCNYL1
Splice-altering	1	CCPG1
Splice-altering	1	CCT5
Splice-altering	1	CCT6B
Splice-altering	1	CCT7
Splice-altering	1	CCZ1B
Splice-altering	1	CD151
Splice-altering	1	CD163L1
Splice-altering	1	CD276
Splice-altering	1	CD2AP
